id,age_now,age_start,year_start,duration
1786,85,6,1936,79
1841,86,10,1939,76
1702,87,12,1940,75
1556,81,11,1945,70
1064,94,25,1946,69
1886,83,15,1947,68
1530,80,12,1947,68
1247,78,10,1947,68
1873,80,13,1948,67
1830,76,9,1948,67
2033,82,16,1949,66
1002,81,15,1949,66
1526,81,15,1949,66
1628,81,15,1949,66
1721,80,14,1949,66
1092,85,20,1950,65
2054,85,20,1950,65
1265,84,19,1950,65
1584,84,19,1950,65
1116,81,16,1950,65
2137,80,15,1950,65
1991,79,14,1950,65
1041,78,13,1950,65
1259,77,12,1950,65
2232,63,4,1950,65
1441,87,23,1951,64
1254,81,17,1951,64
2026,78,14,1951,64
1098,76,12,1951,64
1714,86,23,1952,63
1675,83,20,1952,63
1848,81,18,1952,63
1419,79,16,1952,63
1853,77,14,1952,63
1936,84,22,1953,62
1252,82,20,1953,62
1366,82,20,1953,62
1980,82,20,1953,62
2022,82,20,1953,62
1661,80,18,1953,62
2070,78,16,1953,62
1035,74,12,1953,62
1492,84,23,1954,61
1295,83,22,1954,61
1230,82,21,1954,61
1857,82,21,1954,61
1369,81,20,1954,61
1078,79,18,1954,61
1364,78,17,1954,61
2193,78,17,1954,61
1688,77,16,1954,61
1339,76,15,1954,61
1776,76,15,1954,61
1210,87,27,1955,60
1429,86,26,1955,60
1299,84,24,1955,60
1268,81,21,1955,60
1662,80,20,1955,60
1940,77,17,1955,60
1267,76,16,1955,60
1410,76,16,1955,60
1965,76,16,1955,60
1521,75,15,1955,60
2203,72,12,1955,60
1691,83,24,1956,59
1567,82,23,1956,59
1705,79,20,1956,59
1758,77,18,1956,59
1851,77,18,1956,59
1618,75,16,1956,59
1994,74,15,1956,59
1622,73,14,1956,59
1281,71,12,1956,59
1514,69,10,1956,59
2177,85,27,1957,58
1701,79,21,1957,58
1654,75,17,1957,58
1837,73,15,1957,58
1044,86,29,1958,57
1201,83,26,1958,57
1248,83,26,1958,57
1477,82,25,1958,57
1770,82,25,1958,57
1182,81,24,1958,57
2096,80,23,1958,57
2150,79,22,1958,57
2005,77,20,1958,57
2104,76,19,1958,57
1645,73,16,1958,57
1195,86,30,1959,56
2039,83,27,1959,56
1353,82,26,1959,56
1566,79,23,1959,56
1390,78,22,1959,56
2075,77,21,1959,56
1715,75,19,1959,56
1365,73,17,1959,56
1621,65,9,1959,56
1387,64,8,1959,56
2218,88,33,1960,55
1927,87,32,1960,55
1214,86,31,1960,55
1633,84,29,1960,55
2069,84,29,1960,55
1234,83,28,1960,55
1507,81,26,1960,55
1524,81,26,1960,55
1347,80,25,1960,55
1543,79,24,1960,55
1632,79,24,1960,55
1839,79,24,1960,55
1296,78,23,1960,55
1648,78,23,1960,55
2123,78,23,1960,55
1012,76,21,1960,55
2141,76,21,1960,55
2155,76,21,1960,55
1902,75,20,1960,55
2190,75,20,1960,55
2191,75,20,1960,55
1249,74,19,1960,55
1280,73,18,1960,55
2225,73,18,1960,55
1888,72,17,1960,55
1748,71,16,1960,55
1227,69,14,1960,55
1310,85,31,1961,54
1175,82,28,1961,54
1679,82,28,1961,54
1783,82,28,1961,54
1119,80,26,1961,54
2237,71,17,1961,54
2025,69,15,1961,54
1186,80,27,1962,53
1324,79,26,1962,53
1771,79,26,1962,53
1028,78,25,1962,53
1779,75,22,1962,53
1061,74,21,1962,53
1882,69,16,1962,53
1993,84,32,1963,52
1219,82,30,1963,52
1383,78,26,1963,52
1307,77,25,1963,52
1326,67,15,1963,52
1076,82,31,1964,51
1685,82,31,1964,51
1564,78,27,1964,51
1067,77,26,1964,51
1487,76,25,1964,51
1072,75,24,1964,51
1269,74,23,1964,51
1445,74,23,1964,51
1728,74,23,1964,51
1973,74,23,1964,51
1151,64,13,1964,51
1627,84,34,1965,50
1718,83,33,1965,50
1774,82,32,1965,50
1773,81,31,1965,50
1237,80,30,1965,50
1156,78,28,1965,50
1569,78,28,1965,50
1172,77,27,1965,50
1510,77,27,1965,50
2192,77,27,1965,50
1448,76,26,1965,50
1541,76,26,1965,50
1604,76,26,1965,50
2199,76,26,1965,50
1399,75,25,1965,50
1167,74,24,1965,50
1180,74,24,1965,50
1723,74,24,1965,50
1087,73,23,1965,50
1756,73,23,1965,50
1791,73,23,1965,50
1663,72,22,1965,50
1901,72,22,1965,50
1670,68,18,1965,50
1916,66,16,1965,50
1285,63,13,1965,50
2231,63,13,1965,50
1683,61,11,1965,50
1637,56,6,1965,50
1581,83,34,1966,49
2105,77,28,1966,49
1941,76,27,1966,49
1029,75,26,1966,49
1568,74,25,1966,49
1963,74,25,1966,49
2106,74,25,1966,49
1300,NA,NA,1966,49
1062,81,33,1967,48
1317,80,32,1967,48
1535,80,32,1967,48
1276,76,28,1967,48
1796,66,18,1967,48
1716,80,33,1968,47
1450,78,31,1968,47
1166,77,30,1968,47
1931,77,30,1968,47
1494,76,29,1968,47
1559,75,28,1968,47
2107,75,28,1968,47
1263,74,27,1968,47
1463,74,27,1968,47
2020,74,27,1968,47
1070,73,26,1968,47
1073,73,26,1968,47
2202,73,26,1968,47
1408,71,24,1968,47
1391,68,21,1968,47
1256,63,16,1968,47
1367,63,16,1968,47
2091,61,14,1968,47
1616,NA,NA,1968,47
1302,78,32,1969,46
1388,78,32,1969,46
2100,78,32,1969,46
2226,78,32,1969,46
1947,77,31,1969,46
1038,76,30,1969,46
1806,76,30,1969,46
1145,75,29,1969,46
1565,72,26,1969,46
1892,68,22,1969,46
1133,66,20,1969,46
1653,62,16,1969,46
2011,NA,NA,1969,46
1512,83,38,1970,45
2119,83,38,1970,45
1393,81,36,1970,45
1856,80,35,1970,45
2117,80,35,1970,45
1021,79,34,1970,45
1132,79,34,1970,45
1246,79,34,1970,45
1551,79,34,1970,45
1370,78,33,1970,45
1423,78,33,1970,45
1753,78,33,1970,45
1178,77,32,1970,45
1695,77,32,1970,45
2067,77,32,1970,45
2164,77,32,1970,45
1001,76,31,1970,45
1497,76,31,1970,45
1638,76,31,1970,45
1671,76,31,1970,45
1818,76,31,1970,45
1102,75,30,1970,45
2040,75,30,1970,45
1109,74,29,1970,45
1164,74,29,1970,45
1913,74,29,1970,45
1736,73,28,1970,45
1123,71,26,1970,45
1271,71,26,1970,45
1426,71,26,1970,45
1847,71,26,1970,45
1122,69,24,1970,45
1752,67,22,1970,45
1861,66,21,1970,45
1674,61,16,1970,45
1155,60,15,1970,45
1096,58,13,1970,45
1548,NA,NA,1970,45
1350,82,38,1971,44
1075,81,37,1971,44
1590,79,35,1971,44
1504,77,33,1971,44
1614,76,32,1971,44
1213,74,30,1971,44
2094,68,24,1971,44
1754,65,21,1971,44
2144,61,17,1971,44
1751,86,43,1972,43
1453,79,36,1972,43
1424,77,34,1972,43
2003,77,34,1972,43
1074,75,32,1972,43
2002,74,31,1972,43
1112,71,28,1972,43
1297,71,28,1972,43
2062,68,25,1972,43
1008,60,17,1972,43
1812,60,17,1972,43
2046,60,17,1972,43
2183,59,16,1972,43
1922,57,14,1972,43
