"pokemon","id","from","to","gen_id","evo_id","url_icon","url_image"
"bulbasaur",1,NA,"ivysaur",1,1,"//archives.bulbagarden.net/media/upload/7/7b/001MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/001.png"
"ivysaur",2,"bulbasaur","venusaur",1,1,"//archives.bulbagarden.net/media/upload/a/a0/002MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/002.png"
"venusaur",3,"ivysaur",NA,1,1,"//archives.bulbagarden.net/media/upload/0/07/003MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/003.png"
"charmander",4,NA,"charmeleon",1,2,"//archives.bulbagarden.net/media/upload/7/7d/004MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/004.png"
"charmeleon",5,"charmander","charizard",1,2,"//archives.bulbagarden.net/media/upload/b/be/005MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/005.png"
"charizard",6,"charmeleon",NA,1,2,"//archives.bulbagarden.net/media/upload/4/41/006MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/006.png"
"squirtle",7,NA,"wartortle",1,3,"//archives.bulbagarden.net/media/upload/9/97/007MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/007.png"
"wartortle",8,"squirtle","blastoise",1,3,"//archives.bulbagarden.net/media/upload/5/55/008MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/008.png"
"blastoise",9,"wartortle",NA,1,3,"//archives.bulbagarden.net/media/upload/1/12/009MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/009.png"
"caterpie",10,NA,"metapod",1,4,"//archives.bulbagarden.net/media/upload/c/ca/010MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/010.png"
"metapod",11,"caterpie","butterfree",1,4,"//archives.bulbagarden.net/media/upload/f/ff/011MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/011.png"
"butterfree",12,"metapod",NA,1,4,"//archives.bulbagarden.net/media/upload/5/58/012MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/012.png"
"weedle",13,NA,"kakuna",1,5,"//archives.bulbagarden.net/media/upload/d/d4/013MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/013.png"
