"pokemon","id","from","to","gen_id","evo_id","path_icon","evolution_chain_id","stage","y"
"bulbasaur",1,NA,"ivysaur",1,1,"pokemon/icon/bulbasaur.png","1",0,-1
"ivysaur",2,"bulbasaur","venusaur",1,1,"pokemon/icon/ivysaur.png","1",1,-1
"venusaur",3,"ivysaur",NA,1,1,"pokemon/icon/venusaur.png","1",2,-1
"charmander",4,NA,"charmeleon",1,2,"pokemon/icon/charmander.png","2",0,-2
"charmeleon",5,"charmander","charizard",1,2,"pokemon/icon/charmeleon.png","2",1,-2
"charizard",6,"charmeleon",NA,1,2,"pokemon/icon/charizard.png","2",2,-2
"squirtle",7,NA,"wartortle",1,3,"pokemon/icon/squirtle.png","3",0,-3
"wartortle",8,"squirtle","blastoise",1,3,"pokemon/icon/wartortle.png","3",1,-3
"blastoise",9,"wartortle",NA,1,3,"pokemon/icon/blastoise.png","3",2,-3
"caterpie",10,NA,"metapod",1,4,"pokemon/icon/caterpie.png","4",0,-4
"metapod",11,"caterpie","butterfree",1,4,"pokemon/icon/metapod.png","4",1,-4
"butterfree",12,"metapod",NA,1,4,"pokemon/icon/butterfree.png","4",2,-4
"weedle",13,NA,"kakuna",1,5,"pokemon/icon/weedle.png","5",0,-5
"kakuna",14,"weedle","beedrill",1,5,"pokemon/icon/kakuna.png","5",1,-5
"beedrill",15,"kakuna",NA,1,5,"pokemon/icon/beedrill.png","5",2,-5
"pidgey",16,NA,"pidgeotto",1,6,"pokemon/icon/pidgey.png","6",0,-6
"pidgeotto",17,"pidgey","pidgeot",1,6,"pokemon/icon/pidgeotto.png","6",1,-6
"pidgeot",18,"pidgeotto",NA,1,6,"pokemon/icon/pidgeot.png","6",2,-6
"rattata",19,NA,"raticate",1,7,"pokemon/icon/rattata.png","7",0,-7
"raticate",20,"rattata",NA,1,7,"pokemon/icon/raticate.png","7",1,-7
"spearow",21,NA,"fearow",1,8,"pokemon/icon/spearow.png","8",0,-8
"fearow",22,"spearow",NA,1,8,"pokemon/icon/fearow.png","8",1,-8
"ekans",23,NA,"arbok",1,9,"pokemon/icon/ekans.png","9",0,-9
"arbok",24,"ekans",NA,1,9,"pokemon/icon/arbok.png","9",1,-9
"pikachu",25,"pichu","raichu",1,10,"pokemon/icon/pikachu.png","10",1,-10
"raichu",26,"pikachu",NA,1,10,"pokemon/icon/raichu.png","10",2,-10
"sandshrew",27,NA,"sandslash",1,11,"pokemon/icon/sandshrew.png","11",0,-11
"sandslash",28,"sandshrew",NA,1,11,"pokemon/icon/sandslash.png","11",1,-11
"nidoran-f",29,NA,"nidorina",1,12,"pokemon/icon/nidoran-f.png","12",0,-12
"nidorina",30,"nidoran-f","nidoqueen",1,12,"pokemon/icon/nidorina.png","12",1,-12
"nidoqueen",31,"nidorina",NA,1,12,"pokemon/icon/nidoqueen.png","12",2,-12
"nidoran-m",32,NA,"nidorino",1,13,"pokemon/icon/nidoran-m.png","13",0,-13
"nidorino",33,"nidoran-m","nidoking",1,13,"pokemon/icon/nidorino.png","13",1,-13
"nidoking",34,"nidorino",NA,1,13,"pokemon/icon/nidoking.png","13",2,-13
"clefairy",35,"cleffa","clefable",1,14,"pokemon/icon/clefairy.png","14",1,-14
"clefable",36,"clefairy",NA,1,14,"pokemon/icon/clefable.png","14",2,-14
"vulpix",37,NA,"ninetales",1,15,"pokemon/icon/vulpix.png","15",0,-15
"ninetales",38,"vulpix",NA,1,15,"pokemon/icon/ninetales.png","15",1,-15
"jigglypuff",39,"igglybuff","wigglytuff",1,16,"pokemon/icon/jigglypuff.png","16",1,-16
"wigglytuff",40,"jigglypuff",NA,1,16,"pokemon/icon/wigglytuff.png","16",2,-16
"zubat",41,NA,"golbat",1,17,"pokemon/icon/zubat.png","17",0,-17
"golbat",42,"zubat","crobat",1,17,"pokemon/icon/golbat.png","17",1,-17
"oddish",43,NA,"gloom",1,18,"pokemon/icon/oddish.png","18",0,-18
"gloom",44,"oddish","vileplume",1,18,"pokemon/icon/gloom.png","18",1,-18
"vileplume",45,"gloom",NA,1,18,"pokemon/icon/vileplume.png","18",2,-18
"paras",46,NA,"parasect",1,19,"pokemon/icon/paras.png","19",0,-19
"parasect",47,"paras",NA,1,19,"pokemon/icon/parasect.png","19",1,-19
"venonat",48,NA,"venomoth",1,20,"pokemon/icon/venonat.png","20",0,-20
"venomoth",49,"venonat",NA,1,20,"pokemon/icon/venomoth.png","20",1,-20
"diglett",50,NA,"dugtrio",1,21,"pokemon/icon/diglett.png","21",0,-21
"dugtrio",51,"diglett",NA,1,21,"pokemon/icon/dugtrio.png","21",1,-21
"meowth",52,NA,"persian",1,22,"pokemon/icon/meowth.png","22",0,-22
"persian",53,"meowth",NA,1,22,"pokemon/icon/persian.png","22",1,-22
"psyduck",54,NA,"golduck",1,23,"pokemon/icon/psyduck.png","23",0,-23
"golduck",55,"psyduck",NA,1,23,"pokemon/icon/golduck.png","23",1,-23
"mankey",56,NA,"primeape",1,24,"pokemon/icon/mankey.png","24",0,-24
"primeape",57,"mankey","annihilape",1,24,"pokemon/icon/primeape.png","24",1,-24
"growlithe",58,NA,"arcanine",1,25,"pokemon/icon/growlithe.png","25",0,-25
"arcanine",59,"growlithe",NA,1,25,"pokemon/icon/arcanine.png","25",1,-25
"poliwag",60,NA,"poliwhirl",1,26,"pokemon/icon/poliwag.png","26",0,-26
"poliwhirl",61,"poliwag","poliwrath",1,26,"pokemon/icon/poliwhirl.png","26",1,-26
"poliwrath",62,"poliwhirl",NA,1,26,"pokemon/icon/poliwrath.png","26",2,-26
"abra",63,NA,"kadabra",1,27,"pokemon/icon/abra.png","27",0,-27
"kadabra",64,"abra","alakazam",1,27,"pokemon/icon/kadabra.png","27",1,-27
"alakazam",65,"kadabra",NA,1,27,"pokemon/icon/alakazam.png","27",2,-27
"machop",66,NA,"machoke",1,28,"pokemon/icon/machop.png","28",0,-28
"machoke",67,"machop","machamp",1,28,"pokemon/icon/machoke.png","28",1,-28
"machamp",68,"machoke",NA,1,28,"pokemon/icon/machamp.png","28",2,-28
"bellsprout",69,NA,"weepinbell",1,29,"pokemon/icon/bellsprout.png","29",0,-29
"weepinbell",70,"bellsprout","victreebel",1,29,"pokemon/icon/weepinbell.png","29",1,-29
"victreebel",71,"weepinbell",NA,1,29,"pokemon/icon/victreebel.png","29",2,-29
"tentacool",72,NA,"tentacruel",1,30,"pokemon/icon/tentacool.png","30",0,-30
"tentacruel",73,"tentacool",NA,1,30,"pokemon/icon/tentacruel.png","30",1,-30
"geodude",74,NA,"graveler",1,31,"pokemon/icon/geodude.png","31",0,-31
